date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:23	358/358	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0088a-166%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/vendor/debouncedresize.min.js?ver=1.2.4	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/vendor/debouncedresize.min9030.js	(from https://exponentwptheme.com/finance/)
10:25:23	2050/2050	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0088a-802%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/portfolio.min.js?ver=1.2.4	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/js/portfolio.min9030.js	(from https://exponentwptheme.com/finance/)
10:25:23	123138/123138	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:25%20GMT	https://exponentwptheme.com/finance/category/miscellaneous/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/category/miscellaneous/index.html	(from https://exponentwptheme.com/finance/)
10:25:24	10901/10901	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0097b-3868%22	https://exponentwptheme.com/finance/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.1.5	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/plugins/contact-form-7/includes/js/scriptsc6ac.js	(from https://exponentwptheme.com/finance/)
10:25:24	134658/134658	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:25%20GMT	https://exponentwptheme.com/finance/why-you-to-hire-a-lawyer-to-prepare-your-privacy-policy/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/why-you-to-hire-a-lawyer-to-prepare-your-privacy-policy/index.html	(from https://exponentwptheme.com/finance/)
10:25:24	125425/125425	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:25%20GMT	https://exponentwptheme.com/finance/category/tips/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/category/tips/index.html	(from https://exponentwptheme.com/finance/)
10:25:24	7146/7146	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0089b-1bea%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/exponent-modules/public/js/exp-modules.min.js?ver=2.1	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/exponent-modules/public/js/exp-modules.min53cf.js	(from https://exponentwptheme.com/finance/)
10:25:24	99783/99783	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0de4bb-185c7%22	https://exponentwptheme.com/finance/wp-content/plugins/instagram-feed/js/sb-instagram.min.js?ver=1.12	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/plugins/instagram-feed/js/sb-instagram.min2f3e.js	(from https://exponentwptheme.com/finance/)
10:25:24	5969/5969	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd008fb-1751%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/tatsu/public/js/vendor/es6-promise.auto.min.js?ver=5.3.6	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/tatsu/public/js/vendor/es6-promise.auto.min48f5.js	(from https://exponentwptheme.com/finance/)
10:25:25	3931/3931	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d9912a0-f5b%22	https://exponentwptheme.com/finance/wp-includes/js/jquery/ui/core.min.js?ver=1.11.4	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-includes/js/jquery/ui/core.mine899.js	(from https://exponentwptheme.com/finance/)
10:25:25	6838/6838	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d9912a0-1ab6%22	https://exponentwptheme.com/finance/wp-includes/js/jquery/ui/widget.min.js?ver=1.11.4	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-includes/js/jquery/ui/widget.mine899.js	(from https://exponentwptheme.com/finance/)
10:25:25	8566/8566	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d9912a0-2176%22	https://exponentwptheme.com/finance/wp-includes/js/jquery/ui/accordion.min.js?ver=1.11.4	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-includes/js/jquery/ui/accordion.mine899.js	(from https://exponentwptheme.com/finance/)
10:25:25	12036/12036	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d9912a0-2f04%22	https://exponentwptheme.com/finance/wp-includes/js/jquery/ui/tabs.min.js?ver=1.11.4	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-includes/js/jquery/ui/tabs.mine899.js	(from https://exponentwptheme.com/finance/)
10:25:26	26837/26837	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fc4a1f5-68d5%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/tatsu/public/js/tatsu.min.js?ver=3.2.2	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/tatsu/public/js/tatsu.minee9a.js	(from https://exponentwptheme.com/finance/)
10:25:26	8756/8756	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fc4a1f5-2234%22	https://exponentwptheme.com/finance/wp-content/plugins/tatsu/public/js/tatsu-header.min.js?ver=3.2.2	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/plugins/tatsu/public/js/tatsu-header.minee9a.js	(from https://exponentwptheme.com/finance/)
10:25:26	12901/12901	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0086b-3265%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/js/main.min.js?ver=1.2.4	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/js/main.min9030.js	(from https://exponentwptheme.com/finance/)
10:25:26	1399/1399	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d98f3b6-577%22	https://exponentwptheme.com/finance/wp-includes/js/wp-embed.min.js?ver=5.3.6	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-includes/js/wp-embed.min48f5.js	(from https://exponentwptheme.com/finance/)
